id,user_id,created_at,browser,traffic_source,event_type
72549,5511,2021-06-20 13:56:53.000000 UTC,Chrome,Email,cart
111350,8587,2023-07-28 04:20:27.000000 UTC,Safari,Email,cart
111347,8587,2023-07-28 04:13:30.000000 UTC,Safari,Email,cart
80131,6147,2023-07-21 05:51:49.000000 UTC,Safari,Email,cart
102780,7968,2023-05-03 14:52:24.000000 UTC,Chrome,Email,cart
102786,7968,2023-05-03 14:59:29.000000 UTC,Chrome,Email,cart
102802,7968,2023-05-03 13:05:16.000000 UTC,Chrome,Email,cart
92842,7117,2021-11-11 06:42:06.000000 UTC,Chrome,Email,cart
84861,6512,2021-08-23 13:09:57.000000 UTC,Firefox,Email,cart
84868,6512,2021-08-23 13:08:19.000000 UTC,Firefox,Email,cart
107468,8301,2022-11-05 04:54:44.000000 UTC,Chrome,Email,cart
82568,6358,2023-01-24 02:43:06.000000 UTC,Safari,Email,cart
82558,6358,2023-01-24 04:13:23.000000 UTC,Chrome,Email,cart
82574,6358,2023-01-24 02:55:22.000000 UTC,Safari,Email,cart
128373,9977,2023-11-05 10:14:29.000000 UTC,Chrome,Email,cart
108249,8359,2023-08-03 22:25:04.000000 UTC,Firefox,Email,cart
66297,5016,2023-06-30 13:52:28.000000 UTC,IE,Email,cart
85834,6573,2023-06-30 01:11:09.000000 UTC,Firefox,Email,cart
85831,6573,2023-06-30 01:06:20.000000 UTC,Firefox,Email,cart
105572,8171,2022-07-19 01:06:10.000000 UTC,Safari,Email,cart
121082,9398,2020-11-14 10:13:14.000000 UTC,Chrome,Email,cart
94439,7251,2023-09-07 07:22:00.000000 UTC,Firefox,Email,cart
123069,9583,2023-08-23 15:09:11.000000 UTC,Other,Email,cart
123083,9583,2023-01-02 14:00:42.000000 UTC,IE,Email,cart
123093,9583,2023-01-02 15:37:51.000000 UTC,Safari,Email,cart
125101,9725,2021-11-18 05:34:08.000000 UTC,Chrome,Email,cart
70628,5347,2022-12-05 07:13:32.000000 UTC,IE,Email,cart
78648,6024,2022-01-17 10:59:04.000000 UTC,Safari,Email,cart
111885,8627,2022-11-30 03:57:00.000000 UTC,Chrome,Email,cart
74671,5679,2023-10-28 00:32:44.000000 UTC,Chrome,Email,cart
103960,8055,2019-01-15 14:22:28.000000 UTC,Chrome,Email,cart
76245,5820,2022-10-27 13:14:47.000000 UTC,Firefox,Email,cart
119813,9289,2023-02-24 02:26:47.000000 UTC,Firefox,Email,cart
122856,9562,2020-11-27 09:09:42.000000 UTC,Other,Email,cart
122859,9562,2020-11-27 09:13:56.000000 UTC,Other,Email,cart
69208,5248,2023-04-22 10:01:16.000000 UTC,Firefox,Email,cart
122964,9577,2020-05-07 13:52:50.000000 UTC,Chrome,Email,cart
78081,5967,2023-10-25 14:51:57.000000 UTC,Chrome,Email,cart
110336,8510,2023-06-18 13:53:21.000000 UTC,Firefox,Email,cart
84652,6499,2023-05-18 17:28:31.000000 UTC,Chrome,Email,cart
111302,8585,2020-12-29 00:52:26.000000 UTC,Firefox,Email,cart
118819,9205,2021-01-27 00:47:43.000000 UTC,IE,Email,cart
